麻辣香锅 :  hot and numbing fragrant pot
帅府宫保鸡 :  surname Shuai seat of government/government repository (archive)/official residence/mansion/presidential palace/(honorific) Your home/prefecture (from Tang to Qing times) surname Gong Bulgaria/Bulgarian/abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4] chicken
赛螃蟹 :  to compete/competition/match/to surpass/better than/superior to/to excel crab
酱肉 :  thick paste of fermented soya bean/marinated in soya paste/paste/jam meat
北京烧羊肉 :  Beijing, capital of People's Republic of China/Peking/PRC government to burn/to cook/to stew/to bake/to roast/to boil (tea, water etc)/fever mutton/goat meat
毛氏红烧肉 :  surname Mao clan name/maiden name red-cooked meat (pork)/simmer fried meat
猪肉炖粉条 :  pork to stew vermicelli made from mung bean starch etc
卤煮 :  to stew in soy sauce and spices boiled
自制酸奶 :  to maintain self-control/self-control yogurt
烤羊腿 :  roast mutton leg
青年拌菜 :  youth/youthful years/young person/the young to mix/to mix in/to toss (a salad) dish (type of food)/vegetable/cuisine/CL:盤|盘[pan2],道[dao4]/(coll.) (one's) type
飘香排骨 :  floating fragrant spare ribs
果香酥皮虾 :  fruit crisp-fried skin shrimp
蒜泥肘子 :  garlic/CL:頭|头[tou2],瓣[ban4] mud/clay/paste/pulp elbow / pork shoulder son/child/seed/egg/small thing/1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat/Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]
小碗牛肉 :  small/tiny/few/young variant of 碗[wan3] beef
驴肉火烧 :  stir-fried donkey meat
红烧带鱼 :  simmer-fried ribbonfish
肉末烧饼 :  ground meat clay oven rolls
火盆豆腐 :  fire pan tofu
麻豆腐 :  numbing tofu
香锅扯面 :  fragrant pot pulled noodles
豆腐沙锅 :  tofu
元帅虾 :  marshal (in the army) shrimp
石锅牛仔骨 :  stone pot cowboy bone
老北京炸酱面 :  old Beijing zha jiang mian: ground pork simmered with salty fermented soybean paste (or other sauce) over thick wheat noodles
四季蒸碗 :  four seasons steamed bowl
酥皮肘子 :  flaky pastry skin pork shoulder
印巷红盖 :  surname Yin/abbr. for 印度[Yin4 du4] lane/alley surname Hong surname Ge
翡翠豆腐 :  jade/emerald/jadeite/feitsui/halcyon tofu/bean curd
年福鱼 :  surname Nian surname Fu/abbr. for Fujian province 福建省[Fu2 jian4 sheng3] fish
贴饼子 :  to stick/to paste/to post (e.g. on a blog)/to keep close to/to fit snugly/to subsidize/allowance (e.g. money for food or housing)/sticker/classifier for sticking plaster: strip maize or millet pancake
蓝梅山药 :  blue Meishan medicine
贵州嫩鸡 :  Guizhou tender chicken
